fold,author,case_type,minimal_review_reason,label,text_probability,multimodal_probability,delta_p,mean_similarity,user_alignment_group,multimodal_error_type,lowest_similarity_caption,highest_similarity_caption,lowest_similarity_image_path,highest_similarity_image_path,manual_text_image_consistency,manual_image_extra_signal,manual_image_effect,manual_inconsistency_taxonomy_A_to_H,manual_identifiable_info,manual_notes,manual_text_image_consistency_rater1,manual_text_image_consistency_rater2,manual_image_extra_signal_rater1,manual_image_extra_signal_rater2,manual_image_effect_rater1,manual_image_effect_rater2,needs_consensus_review,disagreement_fields
0,iamfinety2.0,multimodal_false_positive_top10,multimodal_false_positive_top10,0,0.7916053635372965,0.9107314588227756,0.1191260952854791,0.2830741261132061,High,FP,"有些事情變了就是變了, 就算能回到過去, 你的心都不一樣了。","別用5%的負面價值, 去否定自己100%的努力",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/iamfinety2.0/images/3343733159451329223_28899230819.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/iamfinety2.0/images/3763406419009823515_28899230819.jpg,一致,無,,,是,,一致,一致,無,無,干擾,無明顯影響,True,manual_image_effect
0,knowmi_0.0,multimodal_false_positive_top10,multimodal_false_positive_top10,0,0.9241481209272784,0.90957003699769,-0.0145780839295883,0.2334453678793377,Low,FP,"【專屬教授】旻城 *師生 *年齡差 ❗️完整版(設定有改)❗️ ——09 秋天的校園一向不安分。 校慶前夕,整個校內像被打翻了顏料盤,展覽布置、攤位準備,全系師生都忙得腳不沾地。 韓知城身為剛上任不久的年輕教授,原本只打算默默跟著流程走,沒想到最後被排去帶隊參加「學術研習營」——一場與他校聯合舉辦的兩天一夜課程,地點在半山腰上的研習中心。 住宿條件雖好,但因為臨時參加人數爆增,房間編排幾乎成了災難。 助教翻著表格,一臉苦惱:「教授......真的很抱歉,現在只剩一間空房,是兩人房,而且——」 她頓了頓,有些猶豫地看了走廊盡頭一眼。 「跟李旻浩同一間,您......方便嗎?」 韓知城一時間語塞,下意識想問能不能換。 但才剛張口,就看見走廊角落,那道熟悉的身影靠牆站著,一隻手轉著房卡,像早就等在那裡。 「教授也太慢了,我都快睡著了。」 他語氣平靜,眼神落在韓知城身上,有種不動聲色的觀察。 「你怎麼在這......」 「聽說要跟你同住,我當然先來看看環境。」李旻浩將房卡丟進掌心,手指一勾,示意他跟上,「行李給我,樓上走。」 — 一進房,氣氛明顯緊繃。 韓知城站在玄關脫鞋時還在努力裝冷靜:「我睡地上就好,反正只有一晚——」 「不行。」 李旻浩語氣很輕,但語氣裡沒有退讓的空間。他走進房間,順手把門關上,門鎖「咔」一聲輕響,在靜謐的空間裡像被放大了數倍。 韓知城下意識回頭,那一瞬間竟莫名覺得空氣裡多了點危險的氣味。 「我不會對你怎麼樣。」李旻浩彎下腰,把他的行李箱擺到牆邊,「你幹嘛緊張成這樣?」 「我才沒有緊張......」 「是嗎?」他看了他一眼,嘴角微微揚起,「那你耳朵紅什麼?」 韓知城語塞,只能轉身假裝整理被子。 「你以前說過,最怕麻煩。」他低聲問道,「那你這次——幹嘛搶著跟我同一間?」 「因為你不會讓我覺得麻煩。」 那話說得太自然,像是已經確認過千百遍的答案。韓知城卻像被什麼東西輕輕點了一下心口,愣住了。 — 入夜後,屋內只剩床頭燈亮著。 韓知城洗完澡早早鑽進棉被裡,整個人縮成一小團,只露出一雙眼睛。他其實不太敢睡——更準確地說,是睡不著。 另一側的床墊微微下陷,是李旻浩翻身的動作。 「你一直翻身,是背痛還是心事多?」 韓知城嚇一跳:「......你怎麼知道我翻身?」 「我睡得不沉,隔壁的氣息一亂我就知道了。」 「我、我只是......」 他沒說完,卻感覺那雙眼睛還在注視著他,穿透燈光與夜色。 「你是不是很奇怪我為什麼一直對你這樣?」 韓知城咬了咬唇,過了幾秒,才點了點頭。 「我本來的確不打算管太多。」 「可後來發現......你什麼都不說,又總是逞強,然後笑得那麼客氣,好像誰都靠得近,又像誰都靠不近。」 他語氣沒有起伏,卻句句清晰。 「我不喜歡那樣的你。」 韓知城怔住了,一時不知道該反駁什麼。 「但如果是你現在這樣——會困擾、會亂想、會紅著耳朵問我問題的樣子,」 李旻浩聲音低了些,像怕吵醒什麼,「我就想一直看著。」 韓知城臉整個燙起來,翻身把自己整個人埋進棉被裡。 然後,他聽見身邊傳來一聲悶笑。 「你再這樣躲,會悶死。」 「不、不要管我......」 「好,那我不吵你。」 李旻浩語氣像是在妥協,但下一句卻低得幾乎要貼在枕邊: 「只是記得,別再問我為什麼對你好。因為我已經很克制了。」 韓知城整個人僵住,手指緊緊抓著被角,心臟跳得像要破表。 — 他沒看到的是,李旻浩背對著他時,眼神裡有光,卻也帶著壓抑。 這段距離,他會等。 不是因為退讓,而是因為真正想要的,不能急。 等到那個總是小心翼翼的年輕教授,終於有天自己往他走來時—— 那才是,他最想要的答案。 (留言續)","【Trouble Maker】辰旻 *🚗🚗 — 「哈啊...嗯,太深了、不要...」 「還不能走喔~說好要讓我開心的對吧?」 「不要了....啊!」剛爬出一點距離就被黃鉉辰抓住腳踝拉回,突如其來的刺激讓李旻浩忍不住叫了出來,生理性的淚水蓄在眼眶邊緣搖搖欲墜。 — 「哥~」 「嗯?」 「好多stay在問我是怎麼說服你跳女位欸?」黃鉉辰刷著手機,無意見看到了stay們的短片及留言。 「嗯~為什麼呢~」李旻浩坐在一旁看著手機螢幕懶洋洋的回答 「...你沒在聽吧」 「聽著呢,你繼續說~」 「?說完啦!」 「是嗎?」 「...哥」 「嗯...唔!?」 還沒等李旻浩反應過來,黃鉉辰就突然強硬的扳過他的下巴吻了上去「唔...哈..呀黃鉉辰你幹嘛!」 「哥都沒在聽我說話對吧?」 「有...嗯..!」 翻身將還在嘴硬的哥哥壓在沙發上,黃鉉辰露出了意味深長的微笑。「是嗎?那我說了什麼?」 「......」 顯然這哥直到方才還沈迷於動畫片,一個字都沒聽進去,但嘴硬的小兔子是不會放棄狡辯的 「就是...跟stay們有關的嘛!」 「...說謊可是要受罰的喔~」寬大的手掌滑入衣襬,沿著緊緻的肌肉線條細細描繪,惹得身下人一陣顫慄,平時總表現得像個帕波(바보)的人現在卻笑得像隻壞狐狸,原先在腰部遊走的大掌逐漸向上...... 「唔...癢、你很煩......」 李旻浩咬著唇,聲音卻輕的像撒嬌。 「哥聲音怎麼抖成這樣?明明剛剛還很囂張」 黃鉉辰低頭,鼻頭輕輕蹭過小兔子泛紅的耳尖,語氣裡全是壞心眼的笑意。 大手不安份的從背脊滑到腰側,順著曲線向上,指尖在肌膚上像是灼熱的火苗,一點點點燃他的每寸感官 「別、別摸那裡...很癢......」 「可是哥這裡在發燙欸~」 輕咬了口對方的耳垂,讓李旻浩顫了顫,彷彿連呼吸都被奪走。 「我......我真的......」 話還沒說完,黃鉉辰一手扯下他鬆垮的外套,整個人幾乎半裸地躺在沙發上,衣襟散開、鎖骨精緻,臉頰紅潤得像剛熟的蜜桃。 黃鉉辰看得眼神都暗了。 「哥真的超不乖。」 「才、才不是......」 他伸手想推開對方,卻被反手按住手腕,整個人動彈不得。李旻浩猛地別過頭,「不要看......」 「為什麼?哥看起來很可愛啊。」 他忍不住啄了下對方鎖骨,留下淺淺紅痕,然後笑著看著李旻浩瞬間炸毛的反應。 「黃鉉辰你混帳......!」 「真是、哈...你知道自己現在是什麼表情嗎?」 漂亮的眼睛矇著一層水霧,纖長的睫毛輕顫,鼻頭因熱氣而微微出汗,透著淡淡的粉色,被親到紅腫的唇為了喘氣而張開,露出了可愛的兔牙。 「自己看看吧?」 李旻浩被按在梳妝台前的大鏡子上,整面玻璃泛著霧氣,模糊又曖昧地倒映出兩人的身影。 — 「不要再看了......你個、變態...」 李旻浩臉紅得快滴血,試圖側頭躲過自己在鏡子裡的樣子,卻被黃鉉辰一手摁住下巴,強迫他直視。 「怕什麼?哥現在這樣......很好看。 語氣輕快卻帶著壞心眼,那隻作怪的手從腰際一路向上滑,力道像是在撫摸,又像是在挑釁。 李旻浩吸了口氣,耳尖紅得發燙,視線在鏡子裡飄來飄去,卻還是不敢看黃鉉辰的眼睛。 「看著嘛~你現在全身都在發抖,是因為我吧?」 他語氣含笑,卻在李旻浩耳邊低聲補了一句, 「還是......因為你喜歡被我這樣按在鏡子前面弄?」 「黃鉉辰你...唔......」 — 嘴唇被咬住,吞進了所有反駁的氣音。鏡子裡,那個被吻得喘不過氣的自己,衣領早已鬆垮,眼尾泛紅,嘴角還帶著一點水光,整個人像是快融化在對方懷裡。 而身後那人,笑得像只壞狐狸,眼神燙得嚇人。 大掌從背後環過他纖細的腰,緩緩貼上腹部,動作極緩,卻撩得他忍不住戰慄。 「啊......等等、我、我不行...那裡......」 「哥的反應真的超誠實欸......」 黃鉉辰笑聲低沉,唇貼著他的脖頸,呼出的熱氣讓李旻浩整個人顫了一下。 「還說不行......這裡都這麼硬了。」 「黃、黃鉉辰......嗯......」 他已經說不出完整的句子了。全靠鏡子裡的畫面來提醒他現在的模樣多羞恥——凌亂的頭髮、半掀的襯衫、紅透的耳朵、還有那雙渴望又害怕的眼睛。 黃鉉辰在他耳邊輕聲說: 「今晚......哥只能看著鏡子裡的自己,一點都不准躲開,懂嗎?」 他被吻住,聲音吞進吻裡。 鏡子模糊了,身影交纏不清,但喘息與熱度卻清晰無比。 結束後李旻浩的襯衫已經皺的不成樣,扣子也不知去哪了,眼尾紅通通的,整個人像是被揉皺的紙團一樣虛軟。 黃鉉辰哼著歌,把他整個人抱進懷裡,還不忘低頭啄一下他鎖骨上的紅痕。 「去、洗澡啦......」李旻浩嗓音啞到不成樣,還是嘴硬地別開臉。 「好啊~那哥陪我一起洗吧。」 「......我、我自己可以——啊!」 他話還沒說完,就被黃鉉辰整個人橫抱起來,嚇得手一緊環上對方脖子,氣急敗壞地拍他的肩。 「你放我下來!」 「不行,哥腿都軟成這樣了,走得動嗎?」 「......黃鉉辰你這混蛋。」 浴室霧氣升騰的瞬間,李旻浩被輕輕放進花灑下,暖水灑落在發燙的肌膚上,一瞬間彷彿連剛剛的喘息聲都還回蕩在空氣裡。 黃鉉辰一邊幫他沖水一邊假裝無辜地說: 「哥身上好多痕跡哦,要洗乾淨才行,不然給成員看到就糟了。」 「你還敢說......!」 他氣呼呼地想走,卻被從背後一把攬住,額頭貼在他濕漉漉的肩上。 「哥......」 「又怎樣......」 「剛剛你叫我名字的樣子,好可愛喔。」 「你還說!」 (留言續)",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/knowmi_0.0/images/3639356085212067791_73207779627.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/knowmi_0.0/images/3735044029797216546_73207779627.jpg,,無,無明顯影響,F,是,,部分一致,一致,無,無,無明顯影響,無明顯影響,True,manual_text_image_consistency
0,na.to.heart,multimodal_false_positive_top10,multimodal_false_positive_top10,0,0.7757295375972421,0.8533114233528094,0.0775818857555673,0.2743877798784524,Medium,FP,"那些傻傻的追逐星光的時候 想起來仍然是十分璀璨的一段人生❤️ 十多年過去了 我和追星認識的好友一起開了顧問公司 從一起為他們奔跑到現在仍然是一起奔跑 一起創造了很多輝煌的時刻 想想大概就是因為 我們都是做什麼事情都全力以赴很認真的人 那些時光,沒有一刻是浪費的😳 - 出處: 約翰藍儂 跟抄: 手寫: -","好久好久,都已經快要忘了要做那朵🌸 - 出處: 手寫: -",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/na.to.heart/images/3819312157213806909_48753960352.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/na.to.heart/images/3796838605780940068_48753960352.jpg,一致,無,,,否,,一致,一致,無,無,無明顯影響,干擾,True,manual_image_effect
0,who.loved.by.jesus,multimodal_false_positive_top10;largest_abs_delta_p_top20,multimodal_false_positive_top10;largest_abs_delta_p_top20,0,0.5153789693952825,0.8077420461116196,0.2923630767163371,0.281904013319449,High,FP,"“Blessed are those who hunger and thirst for righteousness, for they shall be satisfied.(Matthew5:6 ESV)","「他寧可和上帝的百姓同受苦害,也不願暫時享受罪中之樂。」 希伯來書 11 : 25",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/who.loved.by.jesus/images/3663514336552903529_6848616982.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/who.loved.by.jesus/images/3799098941624221105_6848616982.jpg,一致,無,,,是,,一致,一致,無,無,無明顯影響,干擾,True,manual_image_effect
4,ksitigarbha_dizangwang,multimodal_false_positive_top10,multimodal_false_positive_top10,0,0.6530564627921109,0.7187582126011004,0.0657017498089894,0.2401092457585036,Low,FP,"四聖諦@ 佛陀教導我們,苦的存在,必須理解;苦的來源,必須放下;苦的斷滅,必須證悟;滅苦的道,必須修行。 理解「苦」,不是僅僅漫不經心地接受苦的概念,而需要嚴肅認真的思惟。 這自然會引領我們去面對「集」:苦的根源。 只有真正認清它,才能放下苦的根源,此時「滅」才有意義。 通過修行,我們能培養正確的見解、禪修和行止,以斷滅自己的苦。 而踐行大乘教法之「道」,我們則能努力戰勝一切有情眾生之苦。 去修行,去培養正確的見、修、行,取決於每個人自己。 當如此做時,我們就是在清除遮蔽自己內在佛性的客塵。 出處🙏🏻阿曲祖古仁波切🌷","འཛམ་གླིང་ཞི་བདེ་ཡོང་བར་སྨོན། 🌼🙏 愿世界和平! གལ་ཏེ་དད་སེམས་ཀྱི་ངང་ནས་སློབ་དཔོན་པད་འབྱུང་ལ་སེམས་གཅིག་གིས་ཨོཾ་ཨཱཿ ཧཱུྃ་བཛྲ་གུ་རུ་པདྨ་སིདྡྷི་ཧཱུྃ་ཞེས་གསོལ་འདེབས་བརྗོད་ན་བཀྲ་མི་ཤིས་པའི་སྔ་ལྟས་དང་རང་ལོ། དགྲ་འཁྲུགས། ལྟས་ངན། ན་ཚ། ཆག་སྒོ། ཉམས་ལེན་སོགས་ལ་བར་ཆད་མེད་པར་འགྱུར་ཞིང་བསམ་དོན་མྱུར་དུ་འགྲུབ་པར་འགྱུར་རོ།། 若虔诚祈祷莲花生大士,一心念诵莲师心咒“嗡啊吽班匝格热班玛色德吽”,可化解一切不祥,如本命年、争斗、恶兆、疾病、横祸等,修行无有任何障碍,迅速成就所愿。 དེས་ན་འཛམ་གླིང་ལ་ཞི་བདེ་ཡོང་ཆེད་དང་ཕྱོགས་སོ་སོ་ན་དགྲ་འཁྲུགས་སོགས་མྱུར་དུ་མེད་པའི་ཕྱིར་དུའམ། དེར་རྐྱེན་ལམ་དུ་སོང་བ། རྨས་སྐྱོན་ཕོག་པ་དག་ལ་བསྔོ་སྨོན་གྱི་ཚབ་ཏུ། འཕྲིན་འདི་མཐོང་མ་ཐག་རབ་ན་སིདྡྷི་ཚར་བརྒྱ་དང་བརྒྱད། མ་མཐའ་ཡང་ཚར་གསུམ་རེ་བཏོན་ཏེ་གཞན་ལ་བརྒྱུད་བསྐུར་བྱེད་རོགས། 所以看到此信,我邀请你念一百零八遍或三遍莲师心咒,为了世界和平,为了化解争斗,为了此战争中遇到灾难的众生,把此文传递下去,我们一起祈愿!回向!愿平安。 出處🙏🏻阿曲祖古仁波切🌷",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/ksitigarbha_dizangwang/images/3872279777688994059_54329542329.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/ksitigarbha_dizangwang/images/3849566576374829213_54329542329.jpg,一致,無,,,否,,一致,一致,無,無,干擾,無明顯影響,True,manual_image_effect
3,si_je_meurs,multimodal_false_negative_top10;low_similarity_top20,multimodal_false_negative_top10;low_similarity_top20,1,0.0412172493090652,0.063907145610111,0.0226898963010458,0.2266179825794899,Low,FN,❤️ 💭,"我曾經成績很好的,彷彿就在昨日,可是怎麼一切變了? 他們說找到方向很好,可是我只是走不了其他路的無奈,我怎麼這麼無奈......。 你知道嗎?我曾經文科、生物都是女中1%,數學物理都考過前20%,曾經中女校排前100跟所有人比時......其他科都考1%要不是英文,我怎麼會只有前70幾名。 怎麼都爬到最高然後再重重摔下? 國中曾經常駐校排前10的,會考英文10分鐘寫完全對的。 怎麼變了樣,怎麼變了樣? 我的文字,又什麼時候變得這麼斷斷續續? 不是這樣的,曾經不是這樣的......。 怎麼這樣......。 如果不是思覺失調如果不是強迫症如果不是多重人格如果不是情緒障礙,我是不是能站得更高? 可是我明明曾經可以克服這一切,那個校排2的我,在哪......。 我......唉。 痕跡消失了,彷彿在嘲笑我的曇花一現。 是回憶潤飾還是昨日真的美好,我不知道。 醫生叫我跟祂溝通,我嘗試想跟祂說現在的生活很美好可是我連自己都說服不了。 怎麼這樣,我已經快要18歲了。 ❤️ 💭",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/si_je_meurs/images/3738784396799993307_58620940899.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/si_je_meurs/images/3811600092395441042_58620940899.jpg,一致,,,,否,,一致,一致,有,無,幫助,無明顯影響,True,manual_image_extra_signal;manual_image_effect
3,depression_meem,multimodal_false_negative_top10,multimodal_false_negative_top10,1,0.1042258355491941,0.0806283564147476,-0.0235974791344465,0.2910937301392825,High,FN,#meme,喔耶我就爛👍,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/depression_meem/images/3105718715317486762_52085543777.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/depression_meem/images/2786523159942063908_52085543777.jpg,部分一致,,干擾,B;D,否,加入圖片後 multimodal probability 下降，可能未有效利用圖片線索，導致 FN。,部分一致,部分一致,不明確,有,干擾,干擾,True,manual_image_extra_signal
3,m_m12150605,multimodal_false_negative_top10;low_similarity_top20,multimodal_false_negative_top10;low_similarity_top20,1,0.1005794668296586,0.0915018417839109,-0.0090776250457477,0.2237054710276425,Low,FN,「時針」 *各位新年快樂 *小的實在畫不出賀圖 *所以拿顏色比較喜慶的圖混更(? *((紅色很喜慶吧(((👍😆😳 *出場OC:江曼琳,———————————— ———————— 「dream」表格 ———————— *如題 *就是表格 —————— *p1表格完成圖 *p2~p6單格純享 *單格部份因為被裁到了所以會再發上限動放精選 *p7草稿 *p8白單 ————————— *出場OC:許晚歌、江曼琳、瑪格麗特(江願歡) ————————————,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/m_m12150605/images/3834139809611420221_60332717080.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/m_m12150605/images/3857235467578799803_60332717080.jpg,一致,,無明顯影響,,否,,一致,一致,無,不明確,無明顯影響,無明顯影響,True,manual_image_extra_signal
4,fenkychen0827,multimodal_false_negative_top10;low_similarity_top20,multimodal_false_negative_top10;low_similarity_top20,1,0.093195793541958,0.1316937181451784,0.0384979246032204,0.2314779059961438,Low,FN,真的是人在屋簷下 不得不低頭 #kaohsiung#撮影#撮影モデル#被写体被写体募集中写真写真好き写真好きな人と繋がりたい写真撮影日常月曜日台湾高雄風景風景写真風景写真を撮るのが好きな人と繋がりたい自撮り穿搭日常穿搭日記手機攝影手機拍攝手機拍攝,陽光總會照耀在所有人的身上 所以其實也不需要太過於緊張 #kaohsiung#撮影#撮影モデル#被写体#被写体募集中#写真#写真好き#写真好きな人と繋がりたい#写真撮影#日常#木曜日#台湾#高雄#風景#風景写真#風景写真を撮るのが好きな人と繋がりたい#自撮り#穿搭日常#穿搭日記#手機攝影#手機拍攝#手機拍攝,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/fenkychen0827/images/3808341901280129823_1230005219.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/fenkychen0827/images/3774452532530189376_1230005219.jpg,一致,無,,,否,,一致,一致,無,無,幫助,無明顯影響,True,manual_image_effect
0,dep_tattoos,low_similarity_top20,low_similarity_top20,0,0.7478178448308022,0.658820926033377,-0.0889969187974251,0.2094817226752638,Low,FP,🖤認領圖 我一直笑... 假的! 夜裡全碎了 笑被踩進泥裡 我哭到沒聲音 好想跟它一起消失 I kept smiling. Fake. At night it all shattered. The smile was crushed into the dirt. I cried until no sound was left. I just want to disappear with it.,台中紋身藝術節 Flash & booking open 2025/11/07-11/09 這次我會參加台中刺青展 除了現場刺青預約開放外 現場還有精心準備的小周邊 歡迎大家來找我玩🥳 預約請在主頁加line ☝🏼☝🏼☝🏼,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/dep_tattoos/images/3694415952181368500_40970743337.jpg,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/negative/dep_tattoos/images/3743366645508455790_40970743337.jpg,一致,無,,,是,,一致,一致,無,無,無明顯影響,幫助,True,manual_image_effect
