fold,author,label,post_index,caption,image_path,text_mask,image_mask,valid_for_similarity,clip_similarity,alignment_group,text_probability,text_prediction,text_error_type,multimodal_probability,multimodal_prediction,multimodal_error_type,delta_p
0,thirty6____,1,0,"終於不用再寫這種扭曲的心情,我知道也讓許多觀看的讀者感到反感吧? from『第一次見面就說結婚的人』to 『不適任的第三者』 我走進妳的生活,離開時我說了我不會再和妳見面了。 我覺得我是一個感性到道德有問題的人,謝謝大家的善待。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3472845667184474847_62078202249.jpg,1,1,True,0.3011023700237274,High,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,1,"其實作為一個寫作創作者,我一直都知道簡單扼要的文字可能更吸引人或打動人。 但至少對我而言,我想講的都不是一句話能夠表達的,我盡可能把我想講的濃縮成一篇小文章,就不放入過多混亂的情緒了,希望大家可以接受,謝謝。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3475216298190468689_62078202249.jpg,1,1,True,0.3082605302333832,High,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,2,"我總是對他人許下承諾, 對自己的諾言除了寫作沒有其他。 現在我答應我自己, 我不會再讓自己感到失望了。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3477856053357121444_62078202249.jpg,1,1,True,0.3095833659172058,High,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,3,"我不是也不想當完美的人, 我想當個善良但不是那麼好的人。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3480188009809711389_62078202249.jpg,1,1,True,0.26489800214767456,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,4,"我的手機的功能就是收通知、影劇撥放器,還有音樂撥放器,但我會收到訊息其實比我寥寥於幾的寫作帳號的通知還少。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3482735362773281598_62078202249.jpg,1,1,True,0.29381123185157776,High,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,5,"炎熱的南都,早晨與晚夜都飄起了涼意,感覺自己變得更孤獨了一些,但有更多時間可以閱讀自己,拆開自己再重組,我很努力的讓自己變得更好。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3485265367482867949_62078202249.jpg,1,1,True,0.28003498911857605,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,6,"你可以愛我的,我不會讓你受傷害, 也不會傷害你,我會好好愛你的。 轉念總在一念之間,改變需要一段時間,我陪你一起改變。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3485868904298357355_62078202249.jpg,1,1,True,0.2733749747276306,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,7,"現在的我,只想自己一個人獨處, 正常的上下班,做自己喜歡的事情, 我想變好,再去接觸那些喜歡我的人, 再那之前,我不想要任何人來同情我。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3489534473036087939_62078202249.jpg,1,1,True,0.2849682569503784,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,8,"每一個人都會犯錯, 但我犯太多錯誤了, 但我從中反思了很多事情, 只是花了太多時間了, 我會盡量讓自己不再失誤了, 腦袋開始變得清晰, 過去的就過了, 我沒有辦法彌補最多說一句真誠的抱歉。 我要向前了, 這次我真的要活成我自己想要的樣子。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3492430431549894375_62078202249.jpg,1,1,True,0.2922256588935852,High,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,9,"沒有一種感情或愛情是絕對錯誤的, 這我打從心底相信。 但這種愛情我希望你打從心底想要, 不是將就、妥協...等等。 我是一個在寫作上很喜歡舉例子使用譬喻法的人,但這篇文章我沒有資格或是能力表達什麼。 這是我的想法,希望有人看得懂。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3494579532345275889_62078202249.jpg,1,1,True,0.26653560996055603,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,10,"過去寫作的習慣,其實我對自己的用字很嚴格,以前我從來都不會使用""人生""兩字,我總是替代使用""生活"", 因為過去我真的沒有好好去規劃或者想過自己的人生,所以我只是瘋狂的生活著。 我想真的比過去更好了吧,我前半段那名為""狼狽""的人生,今年比去年好很多了。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3496809745686938510_62078202249.jpg,1,1,True,0.2894538640975952,High,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,11,"我有太多情緒,但其實我並不愛四處喧嘩,即便在寫作上也是。 其實像這類型的文章才是我真正喜歡寫的作品,有些隱晦希望有人能懂。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3500388921979342094_62078202249.jpg,1,1,True,0.2917274534702301,High,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,12,"喜歡文字,但永遠都一言難盡。 最近,過得很好。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3506902189812060748_62078202249.jpg,1,1,True,0.30202803015708923,High,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,13,"最近,整個人都好多了,找回過去的自己和未來期待成為的模樣,但也還在習慣有些改變的自己。 其實沒有變太多,就想法有些不一樣了,不太會再犯過去犯過的錯誤。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3513423549623299191_62078202249.jpg,1,1,True,0.25286269187927246,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,14,"今年在倒數了, 2024是一個對我很有意義的一年, 成長了不少呢...",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3519236817746940315_62078202249.jpg,1,1,True,0.2932017147541046,High,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,15,"懶阿我,週日就想寫這個, 但週日睡前自己看了一部電影, 周一又想廢, 今天終於把這篇寫好了。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3525063026456202615_62078202249.jpg,1,1,True,0.2828419506549835,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,16,"寫作對我來說是我十分在乎的事情, 我真的沒有寫作的天賦, 我沒有華麗的詞藻,也沒甚麼天馬行空的構思, 我開始寫作的目標是想要「出版」, 我希望在我有生之年,能夠有個書本, 紀載當時寫作的熱情與情感, 當我離開這個世界時,留下一點痕跡。 現在還是持續在努力做到我的理想, 但我也知道努力不見得有回報,況且我也不是個有天分的人。 現在我覺得如果我寫的東西,能引起一些人的共鳴就很好了, 我的文章大多都悲傷, 其實我一直很想表達的是, 世界很大,你我並不孤獨, 我希望寫作釋放了我的情感, 同時也能照亮一些人, 一點點也好。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3528662959772053481_62078202249.jpg,1,1,True,0.276527464389801,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,17,新年快樂。,/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3538107646140234757_62078202249.jpg,1,1,True,0.26101154088974,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,18,"新的一年有新的計畫, 租屋合約到今年的9月, 我想換一個大一點的地方住, 我想裏頭有一台電鋼琴。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3542439745399854976_62078202249.jpg,1,1,True,0.2857133150100708,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
0,thirty6____,1,19,"越喧鬧、越需要團聚的節慶, 我總是越過越孤獨, 再來要除夕春節了, 好在7-11與麥當勞會營業, 不至於讓自己餓肚子。",/mnt/d/時間序列/ContextVecNet_Instagram_filtered_new/positive/thirty6____/images/3545402139541573426_62078202249.jpg,1,1,True,0.2680768668651581,Medium,0.8969008359753045,1,TP,0.948601602528052,1,TP,0.05170076655274758
