post_id,caption,word,human_label,gpt_label_1,gpt_label_2,gpt_label_3,gpt_label_4,gpt_label_5,word_order
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,你,O,O,O,O,O,O,1
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,知道,O,O,O,O,O,O,2
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,什麼,O,O,O,O,O,O,3
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,是,O,O,O,O,O,O,4
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,愛,O,O,O,O,O,O,5
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,？,O,O,O,O,O,O,6
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,不是,O,O,O,O,O,O,7
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,一個,O,O,O,O,O,O,8
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,句子,O,O,O,O,O,O,9
801,你知道什麼是愛？不是一個句子，也不是一個表情符號，可能還是一個人的無法形容的感覺。今天我感到一個人，沒有興趣，這種感覺已經困擾我很久了,，,O,O,O,O,O,O,10
